Mindat Locality ID,Long-form identifier,GUID,Latitude & Longitude,Altitude,GeoHash,GRN,Type,Köppen climate type,Mineral
191711,mindat:1:2:191711:,Generated_GUID,"46.02617,7.48203",1993,u0jmf6b1z,N31E04,Valley,Tundra,'Chlorite Group'
134067,mindat:1:2:134067:,Generated_GUID,"46.30197,10.02993",1757,u0ppkjp8d,N31E06,Hamlet,Tundra,Forsterite
134483,mindat:1:2:134483:,Generated_GUID,"46.82056,6.93778",452,u0kfmg7vt,N32E04,Unknown,Temperate oceanic climate,Brushite
302435,mindat:1:2:302435:,Generated_GUID,"46.25500,9.22694",1256,u0nx1uqyg,N31E05,Valley,Subarctic climate,'Almandine-Spessartine Series'
6985,mindat:1:2:6985:,Generated_GUID,"46.29468,8.12565",3096,u0jz2gsyj,N31E05,Mountain,Subarctic climate,Asbecasite
188932,mindat:1:2:188932:,Generated_GUID,"46.52845,7.43371",2163,u0m29njpc,N32E04,Unknown,Temperate oceanic climate,Muscovite
134528,mindat:1:2:134528:,Generated_GUID,"47.32306,9.53417",571,u0qv0yysf,N32E05,Cave,Temperate oceanic climate,Fluorite
127288,mindat:1:2:127288:,Generated_GUID,"46.19917,6.00222",379,u0hqbd69t,N31E04,Alluvial Deposit,Temperate oceanic climate,Zircon
134057,mindat:1:2:134057:,Generated_GUID,"46.23544,7.59054",1795,u0jrh8zkb,N31E04,Mine,Tundra,Cerussite
122688,mindat:1:2:122688:,Generated_GUID,"46.03748,7.18409",2386,u0jjgkz79,N31E04,Unknown,Tundra,Cerussite
134532,mindat:1:2:134532:,Generated_GUID,"46.57842,8.32349",1945,u0mbvrkfz,N32E05,Cleft,Subarctic climate,'Chlorite Group'
245717,mindat:1:2:245717:,Generated_GUID,"46.53740,9.49926",2505,u0qb8pv5u,N32E05,Ridge,Tundra,Baryte
192978,mindat:1:2:192978:,Generated_GUID,"46.55610,8.25993",2614,u0mbggq8y,N32E05,Cleft,Subarctic climate,Phenakite
122690,mindat:1:2:122690:,Generated_GUID,"46.16474,7.61815",1721,u0jqtk535,N31E04,Mine,Tundra,'Unnamed (Mg-analogue of Smolianinovite)'
133227,mindat:1:2:133227:,Generated_GUID,"46.62741,9.48154",2170,u0q9rb20r,N32E05,Mine,Tundra,Cerussite
56467,mindat:1:2:56467:,Generated_GUID,"46.10918,7.25686",2318,u0jnm1um3,N31E04,Group of Mines,Tundra,Cerussite
193412,mindat:1:2:193412:,Generated_GUID,"46.02617,7.48109",2039,u0jmf4z9f,N31E04,Village,Tundra,'Chlorite Group'
420813,mindat:1:2:420813:,Generated_GUID,"46.85689,7.05482",499,u0m48d11j,N32E04,Placer,Temperate oceanic climate,Gold
3229,mindat:1:2:3229:,Generated_GUID,"46.44624,8.49302",2653,u0q01r22v,N31E05,Unknown,Subarctic climate,Muscovite
133396,mindat:1:2:133396:,Generated_GUID,"46.33846,9.72451",3142,u0nzt79jj,N31E05,Mountain,Tundra,Epidote
245915,mindat:1:2:245915:,Generated_GUID,"46.39004,10.01357",2933,u0ppgv59t,N31E06,Mountain,Tundra,Stibnite
107720,mindat:1:2:107720:,Generated_GUID,"46.40750,8.15639",1241,u0mb185r3,N31E05,Unknown,Subarctic climate,Magnesite
193418,mindat:1:2:193418:,Generated_GUID,"47.26641,7.53958",1077,u0mkgsd4u,N32E04,Pass,Temperate oceanic climate,Strontianite
108413,mindat:1:2:108413:,Generated_GUID,"46.36474,7.99881",1334,u0jxy02w1,N31E05,Unknown,Tundra,var. Rock Crystal
133395,mindat:1:2:133395:,Generated_GUID,"46.56312,8.80102",1921,u0q2bk89y,N32E05,Pass,Tundra,Molybdenite
191356,mindat:1:2:191356:,Generated_GUID,"46.78828,8.82617",3049,u0q60ve12,N32E05,Mountain,Tundra,Actinolite
134377,mindat:1:2:134377:,Generated_GUID,"46.36093,9.63792",1283,u0nzerf05,N31E05,Group of Outcrops,Tundra,Magnetite
122629,mindat:1:2:122629:,Generated_GUID,"46.36428,7.03268",1418,u0jpb0359,N31E04,Unknown,Tundra,Copper
27322),mindat:1:2:27322):,Generated_GUID,"46.28328,9.99963",3031,u0pp799e8,N31E06,Peak,Tundra,Muscovite
3233,mindat:1:2:3233:,Generated_GUID,"46.21667,7.60000",1607,u0jquvqps,N31E04,Mine,Tundra,Senaite
191618,mindat:1:2:191618:,Generated_GUID,"47.74798,8.68782",478,u0qptsq20,N32E05,Quarry,Temperate oceanic climate,Melanterite
191628,mindat:1:2:191628:,Generated_GUID,"46.72167,8.85389",1845,u0q3c3rjq,N32E05,Unknown,Tundra,Andradite
108294,mindat:1:2:108294:,Generated_GUID,"46.46639,7.94694",2802,u0m8kffy3,N31E05,Glacier,Tundra,'var. Byssolite'
134088,mindat:1:2:134088:,Generated_GUID,"46.23314,7.61573",2338,u0jrj23xe,N31E04,Vein,Tundra,Digenite
191386,mindat:1:2:191386:,Generated_GUID,"46.84079,8.76666",1200,u0q4rrpem,N32E05,Valley,Tundra,'Chlorite Group'
