Mindat Locality ID,Latitude & Longitude,Altitude,Type,Köppen climate type,Mineral
191711,"46.02617,7.48203",1993,Valley,Tundra,Chlorite
134067,"46.30197,10.02993",1757,Hamlet,Tundra,Forsterite
134483,"46.82056,6.93778",452,Unknown,Temperate oceanic climate,Brushite
302435,"46.25500,9.22694",1256,Valley,Subarctic climate,Almandine-Spessartine Series
6985,"46.29468,8.12565",3096,Mountain,Subarctic climate,Asbecasite
188932,"46.52845,7.43371",2163,Unknown,Temperate oceanic climate,Muscovite
134528,"47.32306,9.53417",571,Cave,Temperate oceanic climate,Fluorite
127288,"46.19917,6.00222",379,Alluvial Deposit,Temperate oceanic climate,Zircon
134057,"46.23544,7.59054",1795,Mine,Tundra,Cerussite
122688,"46.03748,7.18409",2386,Unknown,Tundra,Cerussite
134532,"46.57842,8.32349",1945,Cleft,Subarctic climate,Chlorite
245717,"46.53740,9.49926",2505,Ridge,Tundra,Baryte
192978,"46.55610,8.25993",2614,Cleft,Subarctic climate,Phenakite
122690,"46.16474,7.61815",1721,Mine,Tundra,Unnamed (Mg-analogue of Smolianinovite)
133227,"46.62741,9.48154",2170,Mine,Tundra,Cerussite
56467,"46.10918,7.25686",2318,Group of Mines,Tundra,Cerussite
193412,"46.02617,7.48109",2039,Village,Tundra,Chlorite
420813,"46.85689,7.05482",499,Placer,Temperate oceanic climate,Gold
3229,"46.44624,8.49302",2653,Unknown,Subarctic climate,Muscovite
133396,"46.33846,9.72451",3142,Mountain,Tundra,Epidote
245915,"46.39004,10.01357",2933,Mountain,Tundra,Stibnite
107720,"46.40750,8.15639",1241,Unknown,Subarctic climate,Magnesite
193418,"47.26641,7.53958",1077,Pass,Temperate oceanic climate,Strontianite
108413,"46.36474,7.99881",1334,Unknown,Tundra,Rock Crystal
133395,"46.56312,8.80102",1921,Pass,Tundra,Molybdenite
191356,"46.78828,8.82617",3049,Mountain,Tundra,Actinolite
134377,"46.36093,9.63792",1283,Group of Outcrops,Tundra,Magnetite
122629,"46.36428,7.03268",1418,Unknown,Tundra,Copper
27322),"46.28328,9.99963",3031,Peak,Tundra,Muscovite
3233,"46.21667,7.60000",1607,Mine,Tundra,Senaite
191618,"47.74798,8.68782",478,Quarry,Temperate oceanic climate,Melanterite
191628,"46.72167,8.85389",1845,Unknown,Tundra,Andradite
108294,"46.46639,7.94694",2802,Glacier,Tundra,Byssolite
134088,"46.23314,7.61573",2338,Vein,Tundra,Digenite
191386,"46.84079,8.76666",1200,Valley,Tundra,Chlorite
