Mindat Locality ID,Latitude & Longitude,Altitude,Type,Köppen climate type,Mineral,Category
191711,"46.02617,7.48203",1993,Valley,Tundra,Chlorite,CHLORIT
134067,"46.30197,10.02993",1757,Hamlet,Tundra,Forsterite,SILICATE
134483,"46.82056,6.93778",452,Unknown,Temperate oceanic climate,Brushite,QUARTZ
302435,"46.25500,9.22694",1256,Valley,Subarctic climate,Almandine-Spessartine Series,FELDSPAT
6985,"46.29468,8.12565",3096,Mountain,Subarctic climate,Asbecasite,PHOSPHATE
188932,"46.52845,7.43371",2163,Unknown,Temperate oceanic climate,Muscovite,SILICATE
134528,"47.32306,9.53417",571,Cave,Temperate oceanic climate,Fluorite,SONSTIGE
127288,"46.19917,6.00222",379,Alluvial Deposit,Temperate oceanic climate,Zircon,ALUMINIUM_SILIKATE
134057,"46.23544,7.59054",1795,Mine,Tundra,Cerussite,PHOSPHATE
122688,"46.03748,7.18409",2386,Unknown,Tundra,Cerussite,PHOSPHATE
134532,"46.57842,8.32349",1945,Cleft,Subarctic climate,Chlorite,CHLORIT
245717,"46.53740,9.49926",2505,Ridge,Tundra,Baryte,CARBONATE
192978,"46.55610,8.25993",2614,Cleft,Subarctic climate,Phenakite,SILICATE
122690,"46.16474,7.61815",1721,Mine,Tundra,Unnamed (Mg-analogue of Smolianinovite),SONSTIGES
133227,"46.62741,9.48154",2170,Mine,Tundra,Cerussite,PHOSPHATE
56467,"46.10918,7.25686",2318,Group of Mines,Tundra,Cerussite,PHOSPHATE
193412,"46.02617,7.48109",2039,Village,Tundra,Chlorite,CHLORIT
420813,"46.85689,7.05482",499,Placer,Temperate oceanic climate,Gold,METALLE_UND_LEGIERUNGEN
3229,"46.44624,8.49302",2653,Unknown,Subarctic climate,Muscovite,SILICATE
133396,"46.33846,9.72451",3142,Mountain,Tundra,Epidote,SILICATE
245915,"46.39004,10.01357",2933,Mountain,Tundra,Stibnite,SULFIDE
107720,"46.40750,8.15639",1241,Unknown,Subarctic climate,Magnesite,SULFATE_UND_HYDROXIDE
193418,"47.26641,7.53958",1077,Pass,Temperate oceanic climate,Strontianite,SULFIDE
108413,"46.36474,7.99881",1334,Unknown,Tundra,Rock Crystal,QUARTZ
133395,"46.56312,8.80102",1921,Pass,Tundra,Molybdenite,SULFIDE
191356,"46.78828,8.82617",3049,Mountain,Tundra,Actinolite,SILICATE
134377,"46.36093,9.63792",1283,Group of Outcrops,Tundra,Magnetite,SULFIDE
122629,"46.36428,7.03268",1418,Unknown,Tundra,Copper,METALLE_UND_LEGIERUNGEN
27322),"46.28328,9.99963",3031,Peak,Tundra,Muscovite,SILICATE
3233,"46.21667,7.60000",1607,Mine,Tundra,Senaite,SILICATE
191618,"47.74798,8.68782",478,Quarry,Temperate oceanic climate,Melanterite,SULFATE_UND_HYDROXIDE
191628,"46.72167,8.85389",1845,Unknown,Tundra,Andradite,SILICATE
108294,"46.46639,7.94694",2802,Glacier,Tundra,Byssolite,GLIMMER
134088,"46.23314,7.61573",2338,Vein,Tundra,Digenite,SILICATE
191386,"46.84079,8.76666",1200,Valley,Tundra,Chlorite,CHLORIT
132095,"46.57250,8.41500",2413,Mountain Area,Subarctic climate,Cerussite,PHOSPHATE
134041,"46.05435,7.11073",2521,Slope,Tundra,Argentopentlandite,PHOSPHATE
260761,"46.77361,8.97056",2047,Mountain,Tundra,Byssolite,GLIMMER
134038,"46.54306,8.59111",2253,Occurrence,Tundra,Anatase,RUTIL
417929,"46.39313,9.17975",2305,Outcrop,Subarctic climate,Paragonite,GLIMMER
65693,"46.01285,7.84230",2950,Mountain Range,Tundra,Pennine,SILICATE
133973,"46.84426,9.82552",2250,Alpine Pasture,Tundra,Pentlandite,SULFIDE
191357,"46.38361,8.97250",367,Unknown,Subarctic climate,Magnesite,SULFATE_UND_HYDROXIDE
242888,"46.07200,7.85596",3670,Glacier,Tundra,Anatase,RUTIL
191373,"46.30195,8.56862",780,Quarry,Subarctic climate,Piemontite,GRANAT
188870,"46.64086,9.06497",1739,Mountain,Tundra,Anatase,RUTIL
29663,"46.65250,9.35806",2911,Mountain,Tundra,Baryte,CARBONATE
249980,"47.47972,8.39222",733,Mountain Range,Temperate oceanic climate,Silex,QUARTZ
238642,"47.18583,8.55694",532,Cave,Temperate oceanic climate,Calcite,CARBONATE
29316,"47.47446,8.03879",491,Mine,Temperate oceanic climate,Barium-rich Celestine,CALCIT
193516,"46.47263,7.81746",3008,Glacier,Tundra,Topaz,PHOSPHATE
250053,"47.32323,7.88106",712,Mountain,Temperate oceanic climate,Silex,QUARTZ
