Mineral,Count
Quartz,176
Calcite,139
Pyrite,114
Albite,77
Rutile,68
Titanite,66
Muscovite,66
Chlorite,65
Hematite,64
Chalcopyrite,62
Anatase,53
Magnetite,52
Sphalerite,51
K Feldspar,50
Baryte,50
Fluorite,49
Adularia,47
Clinochlore,47
Galena,46
Epidote,44
Apatite,42
Malachite,41
Dolomite,40
Ilmenite,37
Fluorapatite,36
Rock Crystal,34
Azurite,31
Gypsum,31
Siderite,30
Arsenopyrite,28
Zircon,28
Cerussite,27
Limonite,26
Brookite,26
Pyrrhotite,26
Monazite,26
Biotite,26
Smoky Quartz,25
Goethite,25
Aragonite,24
Ankerite,24
Tennantite,23
Tourmaline,22
Actinolite,21
Xenotime,21
Wulfenite,21
Talc,21
Tetrahedrite,21
Brochantite,21
Diopside,20
Prehnite,19
Scheelite,19
Bornite,19
Stilbite,19
Beryl,18
Kyanite,18
Synchysite,18
Gold,18
Andradite,17
Schorl,17
Marcasite,17
Garnet,16
Uraninite,16
Sulphur,16
Laumontite,16
Grossular,15
Covellite,15
Molybdenite,15
Amphibole,15
Jarosite,14
Almandine,14
Aeschynite,14
Chabazite,14
Celestine,13
Hemimorphite,13
Rhodonite,13
Chrysotile,13
Copper,13
Strontianite,13
Phenakite,13
Clinozoisite,13
Allanite,12
Cuprite,12
Uranophane,12
Spessartine,12
Todorokite,12
Chrysocolla,11
Vesuvianite,11
Enstatite,11
Hydrozincite,11
Anglesite,11
Rhodochrosite,11
Smithsonite,11
Tennantite-Tetrahedrite Series,11
Pentlandite,11
Magnesite,11
Gadolinite,10
Graphite,10
Cobaltite,10
Wallkilldellite,10
Piemontite,10
Mimetite,10
Byssolite,10
Scolecite,10
Hessonite,10
Bismuthinite,10
Braunite,10
Paragonite,9
Erythrite,9
Zoisite,9
Langite,9
Dravite,9
Bismutite,9
Kaolinite,9
Phengite,9
Pericline,9
Heulandite-Ca,9
Stibnite,9
Boulangerite,9
Axinite,9
Lepidocrocite,9
Fayalite-Forsterite Series,9
Scorodite,8
Perovskite,8
Tremolite,8
Tephroite,8
Acanthite,8
Iron Rose,8
Sceptre Quartz,8
Linarite,8
Silver,8
Bismuth,8
Kutnohorite,8
Illite,8
Parsettensite,8
Beudantite,7
Antigorite,7
Aurichalcite,7
Cyanotrichite,7
Opal-AN,7
Chromite,7
Forsterite,7
Heulandite,7
Columbite,7
Hausmannite,7
Chalcocite,7
Bertrandite,7
Manganese-bearing Calcite,7
Opal,7
Parauranophane,7
Lizardite,7
Rozenite,7
Jacobsite,7
Aquamarine,6
Cordierite,6
Plagioclase,6
Orthoclase,6
Morenosite,6
Olivenite,6
Metazeunerite,6
Dickite,6
Manganberzeliite,6
Duftite,6
Hercynite,6
Amethyst,6
Meta-autunite,6
Asbestos,6
Staurolite,6
Greenockite,6
Löllingite,6
Stilpnomelane,6
Posnjakite,6
Pyrophyllite,6
Diaspore,6
Galaxite,6
Hornblende Root Name,6
Sillimanite,6
Melanite,6
Gersdorffite,6
Chloritoid,6
Metatorbernite,6
Quartz Gwindel,6
Pyrolusite,6
Sericite,6
Milarite,6
Stibiconite,6
Manganite,5
Rosasite,5
Magnesio-riebeckite,5
Sarkinite,5
Manganosite,5
Columbite-Columbite Series,5
Skutterudite,5
Demantoid,5
Hörnesite,5
Oil Quartz,5
Birnessite,5
Alleghanyite,5
Saponite,5
Stellerite,5
Chalcophyllite,5
Tinzenite,5
Pyrobelonite,5
Sagenite (of Saussure),5
Allophane,5
Manganese Oxides,5
Krupkaite,5
Pyromorphite,5
Phlogopite,5
Eclarite,5
Sursassite,5
Nickelhexahydrite,5
Bazzite,5
Hessite,5
Serpentine,5
Bindheimite,5
Spinel,5
Pitchblende,5
Datolite,5
Tyrolite,5
Annabergite,5
Melanterite,5
Aikinite,4
Hollandite,4
Arsenolite,4
Pyrophanite,4
Nontronite,4
Galenobismutite,4
Violarite,4
Ilvaite,4
Diallage,4
Cleusonite,4
Awaruite,4
Starkeyite,4
Kamacite,4
Cookeite,4
Algodonite,4
Winchite,4
Spionkopite,4
Augite,4
Epsomite,4
Meionite,4
Roméite,4
Scapolite,4
Hexahydrite,4
Heyrovskýite,4
Aegirine,4
Vanadinite,4
Glaucophane,4
Pyroxmangite,4
Copiapite,4
Hydroxylapatite,4
Anhydrite,4
Blue Quartz,4
Barroisite,4
Anorthite,4
Pumpellyite,4
Emplectite,4
Omphacite,4
Dumortierite,4
Friedelite,4
Lillianite,4
Margarite,4
Heazlewoodite,4
Pharmacosiderite,4
Cannizzarite,4
Römerite,4
Devilline,4
Hydromagnesite,4
Powellite,4
Feldspar,4
Cubanite,4
Takanelite,4
Chalcedony,4
Fuchsite,4
Ardennite,4
Bayldonite,4
Anilite,4
Gladite,4
Nickeline,4
Clino-suenoite,4
Iron,4
Silex,4
Safflorite,4
Cosalite,4
Cassiterite,4
Clinohumite,4
Montmorillonite,4
Brannerite,4
Ribbeite,3
Krutovite,3
Philipsbornite,3
Natrojarosite,3
Analcime,3
Minium,3
Coffinite,3
Flinkite,3
Digenite,3
Pennantite,3
UM2006-21-VO:AsHMnSi,3
Rammelsbergite,3
Segnitite,3
Taenite,3
Valentinite,3
Bronzite,3
Bergslagite,3
Troilite,3
Glaucodot,3
Valleriite,3
Clinozoisite-Epidote Series,3
Rhombohedral Carbonate,3
Reppiaite,3
Senaite,3
Argandite,3
UM2006-20-VO:AsHMnSi,3
Kobellite,3
